id,host_listings_count,latitude,longitude,accommodates,bathrooms,price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,maximum_minimum_nights,minimum_maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,restaurants,bars,cafes,universities,cta,time_to_cta_minutes
1947,4,41.90246,-87.63405,2,1.0,59.0,100.0,0.0,0.0,14,60,18,60,0,3,4,2,161.0,50.0,56.0,2.0,3.0,4.66
2384,1,41.7879,-87.5878,1,1.0,55.0,0.0,20.0,0.0,2,90,2,1125,22,322,178,30,19.0,3.0,10.0,3.0,0.0,27.36
4505,1,41.85495,-87.69696,7,1.0,117.0,0.0,30.0,20.0,2,60,2,60,0,146,394,27,7.0,2.0,1.0,0.0,2.0,8.86
7126,2,41.90289,-87.68182,2,1.0,80.0,0.0,0.0,0.0,2,60,2,60,29,335,384,48,131.0,44.0,33.0,0.0,1.0,14.01
9811,10,41.91769,-87.63788000000002,4,1.0,150.0,0.0,85.0,25.0,4,180,4,180,4,320,49,16,84.0,40.0,20.0,1.0,2.0,11.24
10610,5,41.79612,-87.59261,2,1.0,35.0,200.0,50.0,7.0,2,365,2,365,28,268,44,6,41.0,8.0,14.0,5.0,0.0,34.3
10945,10,41.91183,-87.64,4,1.0,215.0,0.0,100.0,25.0,4,180,4,180,8,302,17,8,89.0,40.0,19.0,0.0,3.0,3.1
12140,1,41.92335,-87.64950999999998,2,1.0,289.0,0.0,0.0,25.0,2,7,2,7,0,141,4,0,87.0,46.0,23.0,2.0,2.0,5.76
24833,8,41.926790000000004,-87.65521,3,1.0,99.0,200.0,80.0,10.0,32,395,32,395,30,90,37,0,106.0,58.0,27.0,2.0,3.0,4.89
25879,8,41.92693,-87.65753000000002,6,1.0,99.0,300.0,150.0,5.0,32,300,32,300,0,263,47,3,91.0,52.0,26.0,2.0,3.0,7.75
28749,3,41.92083,-87.6801,6,2.0,200.0,200.0,150.0,25.0,2,10,2,10,23,310,47,0,49.0,26.0,15.0,0.0,1.0,14.47
37738,2,41.97385,-87.66539,2,1.5,77.0,0.0,0.0,37.0,3,90,3,90,30,316,250,9,66.0,22.0,20.0,0.0,3.0,7.6
39742,1,41.89377,-87.63465,2,1.0,75.0,0.0,0.0,0.0,2,14,2,14,0,0,500,33,316.0,95.0,89.0,4.0,7.0,4.13
44020,8,41.92673,-87.65731,6,1.0,80.0,200.0,240.0,8.0,32,290,90,290,30,270,52,1,97.0,54.0,25.0,2.0,3.0,7.01
71930,3,41.89615,-87.67934,2,1.0,59.0,0.0,30.0,20.0,3,90,3,1125,0,176,67,9,85.0,35.0,26.0,0.0,,
79101,5,41.96792,-87.65756999999998,6,1.5,180.0,0.0,30.0,50.0,2,365,2,365,20,310,150,4,47.0,16.0,13.0,0.0,3.0,2.3
84042,3,41.89615,-87.67934,2,1.0,55.0,0.0,30.0,20.0,3,90,3,1125,23,171,75,21,85.0,35.0,26.0,0.0,,
110705,5,41.9693,-87.65621,2,1.0,99.0,0.0,0.0,0.0,2,365,2,365,20,310,148,16,44.0,16.0,14.0,0.0,4.0,2.5
126280,1,41.96852,-87.65225,1,1.0,48.0,0.0,20.0,15.0,3,365,3,1125,0,199,162,22,38.0,10.0,10.0,0.0,3.0,6.83
145659,21,41.94342,-87.68121,8,2.0,275.0,0.0,50.0,20.0,2,1125,5,1125,28,356,25,12,24.0,20.0,6.0,1.0,2.0,11.35
145690,21,41.912890000000004,-87.63864000000002,10,2.0,475.0,0.0,150.0,25.0,2,1125,5,1125,30,345,44,8,84.0,36.0,16.0,0.0,3.0,3.48
165952,8,41.94274,-87.67321,4,1.0,198.0,200.0,35.0,15.0,3,365,3,365,29,364,60,2,45.0,27.0,13.0,0.0,3.0,3.73
166667,8,41.94274,-87.67378000000002,3,1.0,125.0,200.0,25.0,10.0,3,365,3,365,30,365,88,10,44.0,26.0,13.0,0.0,3.0,4.52
166706,8,41.942209999999996,-87.67327,8,2.0,280.0,300.0,50.0,25.0,3,365,3,365,30,365,22,1,44.0,26.0,13.0,0.0,3.0,4.5
172616,5,41.897529999999996,-87.67315,3,1.0,72.0,0.0,45.0,10.0,7,150,15,150,30,135,67,10,98.0,33.0,27.0,0.0,1.0,13.95
175511,2,41.96012,-87.72158,4,1.0,67.0,100.0,100.0,30.0,3,365,4,365,30,365,33,14,11.0,8.0,6.0,0.0,3.0,17.74
184764,1,41.94325,-87.75403,2,1.0,85.0,150.0,50.0,10.0,3,1460,3,1460,0,334,162,2,4.0,1.0,1.0,0.0,0.0,35.45
189821,1,41.92918,-87.70219,5,1.0,125.0,0.0,40.0,20.0,2,28,4,1125,28,163,488,67,78.0,39.0,18.0,0.0,2.0,7.15
198135,1,41.95935,-87.67963,2,1.0,44.0,0.0,30.0,10.0,2,92,2,92,22,119,170,22,50.0,29.0,20.0,0.0,4.0,7.31
207218,1,41.6883,-87.60892,3,1.0,90.0,100.0,35.0,20.0,1,365,1,365,0,296,269,32,1.0,0.0,2.0,0.0,,
221109,1,41.89273,-87.65654,2,1.0,115.0,500.0,50.0,40.0,20,365,20,365,29,89,112,4,124.0,37.0,21.0,0.0,4.0,6.4
225314,1,41.92543,-87.69593,1,1.0,75.0,0.0,30.0,15.0,2,7,2,7,22,357,20,2,100.0,38.0,21.0,0.0,1.0,6.54
230836,3,41.96331,-87.66088,2,1.0,125.0,100.0,50.0,25.0,365,365,365,365,0,0,5,0,23.0,16.0,11.0,0.0,2.0,4.73
233933,2,41.95602,-87.72780999999998,2,1.0,55.0,100.0,20.0,10.0,2,30,2,30,29,179,153,20,8.0,11.0,5.0,0.0,2.0,6.72
248791,5,41.96797,-87.65791,2,1.5,90.0,0.0,10.0,25.0,2,365,2,365,20,310,97,3,47.0,16.0,13.0,0.0,3.0,2.08
250354,1,41.86051,-87.62399,2,1.0,170.0,300.0,50.0,25.0,180,365,180,365,23,358,39,0,40.0,20.0,18.0,0.0,3.0,12.2
258253,1,42.00692,-87.68438,2,1.0,48.0,200.0,60.0,50.0,32,90,32,90,27,362,20,2,21.0,2.0,1.0,0.0,0.0,22.27
261509,3,41.90314,-87.63494,2,1.0,149.0,200.0,100.0,50.0,32,1125,32,1125,13,242,62,0,148.0,45.0,46.0,2.0,3.0,4.91
