id,host_listings_count,latitude,longitude,accommodates,bathrooms,price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,maximum_minimum_nights,minimum_maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,restaurants,bars,cafes,universities,CTA,walk_distance
6773167,7,41.767540000000004,-87.62992,6,1.5,99.0,200.0,180.0,15.0,1,30,1,1125,30,90,6,0,1,0,0,0,1,420.36
38347037,1420,41.89502,-87.62791,2,1.0,171.0,0.0,250.0,0.0,30,1125,730,1125,0,250,0,0,311,105,110,5,4,164.64
26978242,2,41.82504,-87.64106,1,1.0,50.0,0.0,35.0,30.0,5,365,5,1125,30,365,12,8,4,7,2,0,1,1127.53
42133038,0,41.93755,-87.78188,8,2.0,102.0,150.0,45.0,15.0,2,7,2,1125,30,90,4,4,1,1,3,0,0,4386.45
34346271,3,41.828829999999996,-87.61926,8,2.5,150.0,300.0,60.0,25.0,2,1125,2,1125,29,165,16,16,3,1,3,1,3,702.29
38200930,0,41.865629999999996,-87.65558,6,2.0,125.0,100.0,60.0,0.0,2,90,2,1125,27,186,13,13,52,13,17,1,0,2253.94
29704960,7,41.808609999999994,-87.71043,16,1.5,200.0,200.0,80.0,10.0,2,1125,2,1125,30,365,29,15,2,3,0,0,1,741.86
38761097,529,41.92176,-87.71178,4,1.0,98.0,0.0,50.0,0.0,1,30,2,1125,30,90,24,24,62,21,12,0,1,893.13
9645880,1,41.92455,-87.71106999999998,6,1.0,125.0,600.0,70.0,25.0,3,1125,3,1125,30,271,71,6,80,30,15,0,1,597.13
35284235,2,41.94517000000001,-87.66304000000002,6,1.0,150.0,0.0,75.0,50.0,2,1125,2,1125,30,314,28,28,70,56,19,0,6,193.94
