,id,host_listings_count,latitude,longitude,accommodates,bathrooms,price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,maximum_minimum_nights,minimum_maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,restaurants,bars,cafes,universities,cta,time_to_cta
0,7221759,4,41.91081,-87.67031999999998,4,1.0,129.0,0.0,70.0,0.0,2,1125,3,1125,29,352,144,17,120,35,32,0,2.0,541.23
1,23733539,7,41.80754,-87.62335,2,1.0,26.0,100.0,20.0,20.0,2,1000,2,1000,0,0,49,17,3,1,2,0,3.0,479.9
2,31669125,1,41.94543,-87.70735,4,1.0,100.0,0.0,50.0,0.0,1,6,1,6,30,90,26,21,25,20,4,0,2.0,809.9
3,16975615,25,41.89235,-87.62732,2,1.0,600.0,0.0,0.0,0.0,7,600,7,600,0,5,49,39,331,109,122,5,6.0,97.98
4,14857529,9,41.73916,-87.56546999999998,3,2.0,20.0,0.0,0.0,20.0,27,1125,27,1125,29,364,5,2,1,0,0,0,,85.62966666666667
5,30441134,44,41.943870000000004,-87.6468,5,1.0,200.0,0.0,50.0,0.0,1,30,7,30,26,361,85,60,98,66,25,0,3.0,678.72
6,41552449,1420,41.88306,-87.65131,2,1.0,137.0,0.0,250.0,0.0,30,1125,730,1125,0,221,0,0,184,41,38,0,5.0,268.4
7,40087378,1,41.958529999999996,-87.67033,4,1.0,63.0,0.0,0.0,0.0,1,1125,1,1125,0,45,5,5,36,30,17,0,3.0,566.17
8,41802293,2,41.85461,-87.62388,5,2.0,100.0,0.0,20.0,10.0,1,1125,1,1125,30,90,2,2,35,16,12,0,2.0,296.97
9,789429,3,41.961929999999995,-87.66238,2,1.0,99.0,100.0,40.0,20.0,365,365,365,365,30,365,0,0,25,21,13,0,3.0,474.83
10,5496659,6,41.7645,-87.57248,10,1.0,30.0,0.0,25.0,20.0,1,355,1,355,0,0,100,6,11,2,2,0,,105.84933333333333
11,32941621,1386,41.88916,-87.63459,2,1.0,145.0,300.0,89.0,30.0,2,1125,2,1125,30,49,0,0,359,104,110,4,11.0,122.93
12,6690014,1,41.93914,-87.64185,3,1.0,199.0,100.0,75.0,0.0,2,1125,2,1125,0,0,11,5,92,41,24,0,4.0,734.59
13,3105733,3,41.86823,-87.68483,2,1.0,97.0,500.0,15.0,9.0,1,1125,1,1125,0,173,24,1,5,2,2,0,2.0,777.7
14,24689136,33,41.87574,-87.67886,4,3.0,69.0,0.0,15.0,9.0,2,25,2,1125,23,241,160,74,9,3,3,1,3.0,392.86
15,40136229,5,41.93847,-87.83069,8,1.0,109.0,0.0,50.0,0.0,1,27,1,27,27,261,31,31,0,2,0,0,,78.1015
16,40891503,0,41.94883,-87.68034,10,3.5,590.0,0.0,125.0,0.0,1,1125,1,1125,29,178,1,1,31,32,13,1,3.0,437.19
17,11637237,3,41.8595,-87.65737,4,1.0,133.0,500.0,70.0,0.0,2,1125,13,1125,23,244,235,67,36,11,12,0,1.0,869.16
18,32382515,4,41.80284,-87.60416,3,2.0,63.0,0.0,30.0,0.0,2,30,2,30,7,28,24,18,12,3,5,1,,66.06116666666667
19,38595025,1420,41.89861,-87.62068000000002,4,1.0,172.0,0.0,300.0,0.0,30,1125,730,1125,0,36,1,1,206,67,83,3,3.0,572.43
20,29191144,1,41.863170000000004,-87.71516,8,1.0,150.0,150.0,95.0,25.0,1,1125,3,1125,29,336,35,35,0,0,1,0,1.0,1274.08
21,15912388,1,41.9691,-87.65482,3,1.0,52.0,0.0,30.0,0.0,1,37,3,37,4,4,94,2,41,13,12,0,4.0,227.99
22,15250951,2,41.79074,-87.59575,5,1.0,85.0,0.0,25.0,20.0,2,1125,2,1125,29,243,157,42,34,5,12,8,,88.09866666666667
23,31858256,9,41.894259999999996,-87.67546,8,2.0,150.0,350.0,120.0,0.0,2,1125,2,1125,16,201,19,18,75,35,21,0,1.0,1231.68
24,40724819,12,41.89353,-87.61983000000002,6,3.0,395.0,0.0,200.0,50.0,2,29,2,1125,0,0,0,0,250,83,99,4,5.0,632.11
25,979841,4,42.004979999999996,-87.66712,2,1.5,69.0,95.0,0.0,20.0,2,90,2,90,30,359,209,33,33,12,15,0,2.0,472.61
26,15599810,1,41.94979,-87.65323000000002,6,2.0,61.0,250.0,79.0,25.0,3,1125,3,1125,8,303,35,23,74,58,21,0,3.0,190.85
27,27368401,44,41.970620000000004,-87.66149,2,1.0,100.0,0.0,50.0,0.0,1,150,7,150,0,326,101,56,58,18,18,0,4.0,322.37
28,35846560,58,41.80297,-87.58551999999996,5,1.0,23.0,200.0,78.0,34.0,1,1125,7,1125,19,115,44,44,32,6,4,2,,77.11149999999999
29,16873536,5,41.89966,-87.63671,6,1.0,90.0,0.0,80.0,20.0,1,365,2,1125,0,16,179,60,194,59,61,2,3.0,349.29
