id,latitude,longitude,accommodates,bathrooms,price,minimum_nights,maximum_nights,availability_30,number_of_reviews,number_of_reviews_ltm
1947,41.90246,-87.63405,2,1.0,59.0,14,60,0,4,2
2384,41.7879,-87.5878,1,1.0,55.0,2,90,22,178,30
4505,41.85495,-87.69696,7,1.0,117.0,2,60,0,394,27
7126,41.90289,-87.68182,2,1.0,80.0,2,60,29,384,48
9811,41.91769,-87.63788000000002,4,1.0,150.0,4,180,4,49,16
10610,41.79612,-87.59261,2,1.0,35.0,2,365,28,44,6
10945,41.91183,-87.64,4,1.0,215.0,4,180,8,17,8
12140,41.92335,-87.64950999999998,2,1.0,289.0,2,7,0,4,0
24833,41.92679,-87.65521,3,1.0,99.0,32,395,30,37,0
25879,41.92693,-87.65753000000002,6,1.0,99.0,32,300,0,47,3
28749,41.92083,-87.6801,6,2.0,200.0,2,10,23,47,0
37738,41.97385,-87.66539,2,1.5,77.0,3,90,30,250,9
39742,41.89377,-87.63465,2,1.0,75.0,2,14,0,500,33
44020,41.92673,-87.65731,6,1.0,80.0,32,290,30,52,1
71930,41.89615,-87.67934,2,1.0,59.0,3,90,0,67,9
79101,41.96792,-87.65756999999998,6,1.5,180.0,2,365,20,150,4
84042,41.89615,-87.67934,2,1.0,55.0,3,90,23,75,21
110705,41.9693,-87.65621,2,1.0,99.0,2,365,20,148,16
126280,41.96852,-87.65225,1,1.0,48.0,3,365,0,162,22
145659,41.94342,-87.68121,8,2.0,275.0,2,1125,28,25,12
145690,41.91289,-87.63864000000002,10,2.0,475.0,2,1125,30,44,8
165952,41.94274,-87.67321,4,1.0,198.0,3,365,29,60,2
166667,41.94274,-87.67378000000002,3,1.0,125.0,3,365,30,88,10
166706,41.94221,-87.67327,8,2.0,280.0,3,365,30,22,1
172616,41.89753,-87.67315,3,1.0,72.0,7,150,30,67,10
175511,41.96012,-87.72158,4,1.0,67.0,3,365,30,33,14
184764,41.94325,-87.75403,2,1.0,85.0,3,1460,0,162,2
189821,41.92918,-87.70219,5,1.0,125.0,2,28,28,488,67
