id,latitude,longitude,accommodates,bathrooms,price,minimum_nights,maximum_nights,availability_30,number_of_reviews,number_of_reviews_ltm,restaurants,bars,cafes,universities,cta,time_to_cta_minutes
1947,41.90246,-87.63405,2,1.0,59.0,14,60,0,4,2,161.0,50.0,56.0,2.0,3.0,4.66
2384,41.7879,-87.5878,1,1.0,55.0,2,90,22,178,30,19.0,3.0,10.0,3.0,0.0,27.36
4505,41.85495,-87.69696,7,1.0,117.0,2,60,0,394,27,7.0,2.0,1.0,0.0,2.0,8.86
7126,41.90289,-87.68182,2,1.0,80.0,2,60,29,384,48,131.0,44.0,33.0,0.0,1.0,14.01
9811,41.91769,-87.63788000000002,4,1.0,150.0,4,180,4,49,16,84.0,40.0,20.0,1.0,2.0,11.24
10610,41.79612,-87.59261,2,1.0,35.0,2,365,28,44,6,41.0,8.0,14.0,5.0,0.0,34.3
10945,41.91183,-87.64,4,1.0,215.0,4,180,8,17,8,89.0,40.0,19.0,0.0,3.0,3.1
12140,41.92335,-87.64950999999998,2,1.0,289.0,2,7,0,4,0,87.0,46.0,23.0,2.0,2.0,5.76
24833,41.92679,-87.65521,3,1.0,99.0,32,395,30,37,0,106.0,58.0,27.0,2.0,3.0,4.89
25879,41.92693,-87.65753000000002,6,1.0,99.0,32,300,0,47,3,91.0,52.0,26.0,2.0,3.0,7.75
28749,41.92083,-87.6801,6,2.0,200.0,2,10,23,47,0,49.0,26.0,15.0,0.0,1.0,14.47
37738,41.97385,-87.66539,2,1.5,77.0,3,90,30,250,9,66.0,22.0,20.0,0.0,3.0,7.6
39742,41.89377,-87.63465,2,1.0,75.0,2,14,0,500,33,316.0,95.0,89.0,4.0,7.0,4.13
44020,41.92673,-87.65731,6,1.0,80.0,32,290,30,52,1,97.0,54.0,25.0,2.0,3.0,7.01
71930,41.89615,-87.67934,2,1.0,59.0,3,90,0,67,9,85.0,35.0,26.0,0.0,,
79101,41.96792,-87.65756999999998,6,1.5,180.0,2,365,20,150,4,47.0,16.0,13.0,0.0,3.0,2.3
84042,41.89615,-87.67934,2,1.0,55.0,3,90,23,75,21,85.0,35.0,26.0,0.0,,
110705,41.9693,-87.65621,2,1.0,99.0,2,365,20,148,16,44.0,16.0,14.0,0.0,4.0,2.5
126280,41.96852,-87.65225,1,1.0,48.0,3,365,0,162,22,38.0,10.0,10.0,0.0,3.0,6.83
145659,41.94342,-87.68121,8,2.0,275.0,2,1125,28,25,12,24.0,20.0,6.0,1.0,2.0,11.35
145690,41.91289,-87.63864000000002,10,2.0,475.0,2,1125,30,44,8,84.0,36.0,16.0,0.0,3.0,3.48
165952,41.94274,-87.67321,4,1.0,198.0,3,365,29,60,2,45.0,27.0,13.0,0.0,3.0,3.73
166667,41.94274,-87.67378000000002,3,1.0,125.0,3,365,30,88,10,44.0,26.0,13.0,0.0,3.0,4.52
166706,41.94221,-87.67327,8,2.0,280.0,3,365,30,22,1,44.0,26.0,13.0,0.0,3.0,4.5
172616,41.89753,-87.67315,3,1.0,72.0,7,150,30,67,10,98.0,33.0,27.0,0.0,1.0,13.95
175511,41.96012,-87.72158,4,1.0,67.0,3,365,30,33,14,11.0,8.0,6.0,0.0,3.0,17.74
184764,41.94325,-87.75403,2,1.0,85.0,3,1460,0,162,2,4.0,1.0,1.0,0.0,0.0,35.45
189821,41.92918,-87.70219,5,1.0,125.0,2,28,28,488,67,78.0,39.0,18.0,0.0,2.0,7.15
198135,41.95935,-87.67963,2,1.0,44.0,2,92,22,170,22,50.0,29.0,20.0,0.0,4.0,7.31
207218,41.6883,-87.60892,3,1.0,90.0,1,365,0,269,32,1.0,0.0,2.0,0.0,,
221109,41.89273,-87.65654,2,1.0,115.0,20,365,29,112,4,124.0,37.0,21.0,0.0,4.0,6.4
225314,41.92543,-87.69593,1,1.0,75.0,2,7,22,20,2,100.0,38.0,21.0,0.0,1.0,6.54
230836,41.96331,-87.66088,2,1.0,125.0,365,365,0,5,0,23.0,16.0,11.0,0.0,2.0,4.73
233933,41.95602,-87.72780999999998,2,1.0,55.0,2,30,29,153,20,8.0,11.0,5.0,0.0,2.0,6.72
248791,41.96797,-87.65791,2,1.5,90.0,2,365,20,97,3,47.0,16.0,13.0,0.0,3.0,2.08
250354,41.86051,-87.62399,2,1.0,170.0,180,365,23,39,0,40.0,20.0,18.0,0.0,3.0,12.2
258253,42.00692,-87.68438,2,1.0,48.0,32,90,27,20,2,21.0,2.0,1.0,0.0,0.0,22.27
261509,41.90314,-87.63494,2,1.0,149.0,32,1125,13,62,0,148.0,45.0,46.0,2.0,3.0,4.91
264547,41.88467,-87.64487,3,1.5,195.0,10,180,27,65,4,237.0,64.0,64.0,1.0,6.0,5.39
267646,41.92716,-87.70470999999998,2,1.0,97.0,2,365,0,139,11,84.0,37.0,19.0,0.0,2.0,5.33
275496,41.88623,-87.6404,6,2.0,175.0,360,760,29,10,0,329.0,100.0,88.0,1.0,10.0,2.89
289689,41.97794,-87.65764,1,1.0,26.0,30,1125,22,61,3,56.0,16.0,17.0,0.0,4.0,1.23
